"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"gplots","gplots","C:/Users/romai/AppData/Local/R/win-library/4.2","3.1.3",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, r2d2",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"graphlayouts","graphlayouts","C:/Users/romai/AppData/Local/R/win-library/4.2","0.8.0",NA,"R (>= 3.2.0)","igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown, uwot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"gridExtra","gridExtra","C:/Users/romai/AppData/Local/R/win-library/4.2","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gridGraphics","gridGraphics","C:/Users/romai/AppData/Local/R/win-library/4.2","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gsl","gsl","C:/Users/romai/AppData/Local/R/win-library/4.2","2.1-7.1",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"gstat","gstat","C:/Users/romai/AppData/Local/R/win-library/4.2","2.0-9",NA,"R (>= 2.10)","utils, stats, graphics, methods, lattice, sp (>= 0.9-72), zoo,
spacetime (>= 1.0-0), FNN",NA,"fields, maps, mapdata, maptools, rgdal (>= 0.5.2), rgeos, sf
(>= 0.7-2), stars (>= 0.3-0), xts, raster, future, future.apply",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"yes","4.2.0"
"gt","gt","C:/Users/romai/AppData/Local/R/win-library/4.2","0.8.0",NA,"R (>= 3.2.0)","base64enc (>= 0.1-3), bigD (>= 0.1), bitops (>= 1.0-7), cli
(>= 3.4.1), commonmark (>= 1.8), dplyr (>= 1.0.8), fs (>=
1.5.2), ggplot2 (>= 3.3.5), glue (>= 1.6.1), htmltools (>=
0.5.2), juicyjuice (>= 0.1.0), magrittr (>= 2.0.2), rlang (>=
1.0.2), sass (>= 0.4.1), scales (>= 1.2.0), tibble (>= 3.1.6),
tidyselect (>= 1.1.1)",NA,"covr, digest (>= 0.6.29), knitr, paletteer, testthat (>=
3.0.0), RColorBrewer, lubridate, rmarkdown, rvest, shiny,
tidyr, webshot2, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"gtable","gtable","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.1",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"gtools","gtools","C:/Users/romai/AppData/Local/R/win-library/4.2","3.9.2.1",NA,"R (>= 2.10), methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"gtsummary","gtsummary","C:/Users/romai/AppData/Local/R/win-library/4.2","1.6.3",NA,"R (>= 3.4)","broom (>= 1.0.1), broom.helpers (>= 1.10.0), cli (>= 3.1.1),
dplyr (>= 1.0.7), forcats (>= 0.5.1), glue (>= 1.6.0), gt (>=
0.8.0), knitr (>= 1.37), lifecycle (>= 1.0.1), purrr (>=
0.3.4), rlang (>= 1.0.3), stringr (>= 1.4.0), tibble (>=
3.1.6), tidyr (>= 1.1.4)",NA,"aod (>= 1.3.1), broom.mixed (>= 0.2.9), car (>= 3.0-11),
cmprsk, covr, effectsize (>= 0.6.0), emmeans (>= 1.7.3),
flextable (>= 0.8.1), geepack, ggstats, Hmisc, huxtable (>=
5.4.0), insight (>= 0.15.0), kableExtra (>= 1.3.4), lme4, mgcv,
mice (>= 3.10.0), nnet, officer, openxlsx, parameters (>=
0.19.0), parsnip (>= 0.1.7), rmarkdown, sandwich (>= 3.0.1),
scales, smd (>= 0.6.6), spelling (>= 2.2), survey, survival (>=
3.2-11), testthat (>= 3.0.4), tidycmprsk (>= 0.1.2), workflows
(>= 0.2.4)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"haplo.stats","haplo.stats","C:/Users/romai/AppData/Local/R/win-library/4.2","1.8.7",NA,"R (>= 3.5.0), methods, stats, graphics, arsenal","rms",NA,"R.rsp, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"HaploSim","HaploSim","C:/Users/romai/AppData/Local/R/win-library/4.2","1.8.4",NA,"methods,utils, R (>= 2.6.0)",NA,NA,"pedigree (>= 1.3.1)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"hardhat","hardhat","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.0",NA,"R (>= 3.4.0)","glue (>= 1.6.2), rlang (>= 1.0.2), tibble (>= 3.1.7), vctrs
(>= 0.4.1)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 0.1.8), rmarkdown (>= 2.3), roxygen2, testthat (>=
3.0.0), usethis (>= 2.1.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"haven","haven","C:/Users/romai/AppData/Local/R/win-library/4.2","2.5.0",NA,"R (>= 3.4)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"HelpersMG","HelpersMG","C:/Users/romai/AppData/Local/R/win-library/4.2","5.4",NA,"lme4, coda, R (>= 4.1), MASS, ggplot2, rlang",NA,NA,"RNetCDF, ncdf4, maps, fields, shiny, ppcor, pbmcapply,
Matrix, pbapply, parallel, visNetwork, igraph, shinyWidgets,
cranlogs",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"here","here","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"hexbin","hexbin","C:/Users/romai/AppData/Local/R/win-library/4.2","1.28.2",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"highr","highr","C:/Users/romai/AppData/Local/R/win-library/4.2","0.9",NA,"R (>= 3.2.3)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"Hmisc","Hmisc","C:/Users/romai/AppData/Local/R/win-library/4.2","4.7-0",NA,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, foreign, gtable,
grid, gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc",NA,"acepack, chron, rms, mice, tables, knitr, plotly (>= 4.5.6),
rlang, plyr, VGAM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"hms","hms","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.1",NA,NA,"ellipsis (>= 0.3.2), lifecycle, methods, pkgconfig, rlang,
vctrs (>= 0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"HSAUR3","HSAUR3","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-13",NA,"R (>= 3.0.0), tools",NA,NA,"boot (>= 1.3-9), lattice (>= 0.20-23), MASS (>= 7.3-29), mgcv
(>= 1.7-27), rpart (>= 4.1-4), survival (>= 2.37-4), ape (>=
3.0-11), coin (>= 1.1-3), flexmix (>= 2.3-11), Formula (>=
1.1-1), gamair (>= 0.0.8), gamlss.data (>= 4.2.6), gee (>=
4.13-18), KernSmooth (>= 2.23-10), lme4 (>= 1.0-5), maps (>=
2.3-6), maptools (>= 0.8-27), mboost (>= 2.2-3), mclust (>=
4.2), mlbench (>= 2.1-1), mice (>= 2.18), multcomp (>= 1.3-1),
mvtnorm (>= 0.9-9996), partykit (>= 0.8-0), quantreg (>= 5.05),
randomForest (>= 4.6-7), rmeta (>= 2.16), sandwich (>= 2.3-0),
scatterplot3d (>= 0.3-34), sp (>= 1.0-14), TH.data (>= 1.0-2),
vcd (>= 1.3-1), wordcloud (>= 2.4), HSAUR2",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"htmlTable","htmlTable","C:/Users/romai/AppData/Local/R/win-library/4.2","2.4.0",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, reshape, rmarkdown, chron,
lubridate, tibble, purrr, tidyselect, glue, rlang, tidyr (>=
0.7.2), dplyr (>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"htmltools","htmltools","C:/Users/romai/AppData/Local/R/win-library/4.2","0.5.2",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang (>= 0.4.10),
fastmap",NA,"markdown, testthat, withr, Cairo, ragg, shiny","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"htmlwidgets","htmlwidgets","C:/Users/romai/AppData/Local/R/win-library/4.2","1.5.4",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8), rmarkdown, testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"httpcode","httpcode","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"httpuv","httpuv","C:/Users/romai/AppData/Local/R/win-library/4.2","1.6.5",NA,"R (>= 2.15.1)","Rcpp (>= 1.0.7), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"httr","httr","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4.3",NA,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"hunspell","hunspell","C:/Users/romai/AppData/Local/R/win-library/4.2","3.0.1",NA,"R (>= 3.0.2)","Rcpp, digest","Rcpp (>= 0.12.12)","spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",NA,"GPL-2 | LGPL-2.1 | MPL-1.1",NA,NA,NA,NA,"yes","4.2.0"
"huxtable","huxtable","C:/Users/romai/AppData/Local/R/win-library/4.2","5.4.0",NA,"R (>= 2.10)","assertthat, commonmark, generics, glue, memoise, R6, rlang,
stats, stringi, stringr (>= 1.2.0), tidyselect, utils, xml2",NA,"AER, bookdown, broom (>= 0.5.1), broom.mixed, covr, crayon,
devtools, dplyr (>= 0.7.0), fansi, flextable (>= 0.5.5),
ftExtra (>= 0.0.2), ggplot2, httr, knitr, lme4, lmtest, nlme,
nnet, officer, openxlsx, psych, rmarkdown, sandwich, scales,
testthat, tibble, tinytex",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"hypergeo","hypergeo","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2-13",NA,"R (>= 3.1.0),","elliptic (>= 1.3-5), contfrac (>= 1.1-9), deSolve",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"ids","ids","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"igraph","igraph","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.1",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, graph, igraphdata, rgl, scales, stats4, tcltk, testthat,
withr, digest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"igraphdata","igraphdata","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.1",NA,"R (>= 2.10)",NA,NA,"igraph (>= 1.0.0)",NA,"CC BY-SA 4.0 + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"influenceR","influenceR","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.0.1",NA,"R (>= 3.2.0)","igraph (>= 1.0.1), Matrix (>= 1.1-4), methods, utils",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"ini","ini","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"inline","inline","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.19",NA,NA,"methods",NA,"Rcpp (>= 0.11.0), tinytest",NA,"LGPL",NA,NA,NA,NA,"no","4.2.0"
"insight","insight","C:/Users/romai/AppData/Local/R/win-library/4.2","0.17.1",NA,"R (>= 3.4)","methods, stats, utils",NA,"AER, afex, aod, BayesFactor, bayestestR, bbmle, bdsmatrix,
betareg, bife, biglm, blavaan, blme, boot, brms, censReg, cgam,
clubSandwich, coxme, cplm, crch, datawizard, effectsize,
emmeans, epiR, estimatr, feisr, fixest, fungible, gam, gamlss,
gamm4, gbm, gee, geepack, GLMMadaptive, glmmTMB, gmnl, gt,
httr, ivreg, JM, knitr, lavaan, lfe, lme4, lmerTest, lmtest,
logistf, MASS, marginaleffects, Matrix, mclust, MCMCglmm,
merTools, metaBMA, mgcv, mice, mlogit, mhurdle, multgee, nlme,
nnet, nonnest2, ordinal, panelr, parameters, parsnip, pbkrtest,
performance, plm, poorman, pscl, psych, quantreg, rmarkdown,
rms, robustbase, robustlmm, rstanarm (>= 2.21.1), rstantools,
rstudioapi, sandwich, speedglm, spelling, splines, statmod,
survey, survival, testthat, tripack, truncreg, tweedie, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"interp","interp","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1-2",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.9), deldir","Rcpp, RcppEigen","sp, Deriv","RcppEigen","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"intervals","intervals","C:/Users/romai/AppData/Local/R/win-library/4.2","0.15.2",NA,"R (>= 2.9.0)","utils, graphics, methods",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"inum","inum","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-4",NA,"R (>= 3.3.0)","stats, libcoin (>= 1.0-0)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"ipred","ipred","C:/Users/romai/AppData/Local/R/win-library/4.2","0.9-12",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"IRdisplay","IRdisplay","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1",NA,"R (>= 3.0.1)","methods, repr",NA,"testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"irlba","irlba","C:/Users/romai/AppData/Local/R/win-library/4.2","2.3.5",NA,"R (>= 3.6.2), Matrix","stats, methods","Matrix",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"isoband","isoband","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2.6",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"ISwR","ISwR","C:/Users/romai/AppData/Local/R/win-library/4.2","2.0-8",NA,"R (>= 2.6.0)",NA,NA,"survival,MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"iterators","iterators","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.2.0"
"itertools","itertools","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1-3",NA,"R (>= 2.14.0), iterators(>= 1.0.0)","parallel",NA,"foreach",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"ivreg","ivreg","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6-1",NA,"R (>= 3.6.0)","car (>= 3.0-9), Formula, lmtest, MASS, stats",NA,"AER, effects (>= 4.2.0), knitr, insight, parallel, rmarkdown,
sandwich, testthat, modelsummary, ggplot2",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"JM","JM","C:/Users/romai/AppData/Local/R/win-library/4.2","1.5-1",NA,"R (>= 3.0.0), MASS, nlme, splines, survival",NA,NA,NA,"xtable","GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"joineRML","joineRML","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.5",NA,"R (>= 3.6.0), nlme, survival","cobs, doParallel, foreach, generics, ggplot2, graphics, lme4
(>= 1.1-8), MASS, Matrix, mvtnorm, parallel, randtoolbox, Rcpp
(>= 0.12.7), stats, tibble, utils","Rcpp, RcppArmadillo","bindrcpp, dplyr, JM, joineR, knitr, rmarkdown, testthat",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"jose","jose","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.0",NA,"openssl (>= 1.2.1)","jsonlite",NA,"spelling, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"jpeg","jpeg","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1-9",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"jquerylib","jquerylib","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"jsonify","jsonify","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.1",NA,"R (>= 3.3.0)","Rcpp (>= 0.12.18)","rapidjsonr (>= 1.2.0), Rcpp","covr, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"jsonlite","jsonlite","C:/Users/romai/AppData/Local/R/win-library/4.2","1.8.0",NA,"methods",NA,NA,"httr, curl, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"jtools","jtools","C:/Users/romai/AppData/Local/R/win-library/4.2","2.2.0",NA,"R (>= 3.50)","crayon, generics, ggplot2 (>= 3.3.0), magrittr, pander,
pkgconfig, rlang (>= 0.3.0), tibble",NA,"boot, broom, broom.mixed, ggstance, huxtable (>= 3.0.0),
kableExtra, lme4, lmerTest, MASS, methods, pbkrtest,
RColorBrewer, sandwich, scales, survey, weights, knitr,
rmarkdown, testthat, vdiffr","brms, quantreg, rstanarm","GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"juicyjuice","juicyjuice","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.0",NA,NA,"V8 (>= 4.2.0)",NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"JuliaCall","JuliaCall","C:/Users/romai/AppData/Local/R/win-library/4.2","0.17.4",NA,"R (>= 3.4.0)","utils, Rcpp (>= 0.12.7), knitr (>= 1.28)","Rcpp","testthat, rmarkdown, rappdirs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"kableExtra","kableExtra","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.4",NA,"R (>= 3.1.0)","knitr (>= 1.16), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rvest, rmarkdown (>= 1.6.0), scales, viridisLite, stats,
grDevices, htmltools, rstudioapi, glue, tools, webshot, digest,
graphics, svglite",NA,"testthat, magick, formattable, sparkline",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"katex","katex","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4.0",NA,NA,"V8",NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"Kendall","Kendall","C:/Users/romai/AppData/Local/R/win-library/4.2","2.2.1",NA,"R (>= 2.1.0)","boot",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"kernlab","kernlab","C:/Users/romai/AppData/Local/R/win-library/4.2","0.9-30",NA,"R (>= 2.10)","methods, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"KernSmooth","KernSmooth","C:/Users/romai/AppData/Local/R/win-library/4.2","2.23-20","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.2.0"
"kinship2","kinship2","C:/Users/romai/AppData/Local/R/win-library/4.2","1.8.5",NA,"R (>= 3.4.0), Matrix, quadprog","graphics, stats, methods",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"klaR","klaR","C:/Users/romai/AppData/Local/R/win-library/4.2","1.7-0",NA,"R (>= 2.10.0), MASS","combinat, questionr, grDevices, stats, utils, graphics",NA,"scatterplot3d (>= 0.3-22), som, mlbench, rpart, e1071","clustMixType, randomForest, ClustVarLV","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"knitr","knitr","C:/Users/romai/AppData/Local/R/win-library/4.2","1.39",NA,"R (>= 3.3.0)","evaluate (>= 0.15), highr, methods, stringr (>= 0.6), yaml (>=
2.1.19), xfun (>= 0.29), tools",NA,"markdown, formatR, testit, digest, rgl (>= 0.95.1201),
codetools, rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice
(>= 0.10), tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1),
magick, png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>=
0.4-1), showtext, tibble, sass, bslib, ragg, styler (>= 1.2.0),
targets (>= 0.6.0)",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"koRpus","koRpus","C:/Users/romai/AppData/Local/R/win-library/4.2","0.13-8",NA,"R (>= 3.0.0),sylly (>= 0.1-6)","data.table,methods,Matrix",NA,"testthat,tm,SnowballC,shiny,knitr,rmarkdown,koRpus.lang.de,koRpus.lang.en,koRpus.lang.es,koRpus.lang.fr,koRpus.lang.it,koRpus.lang.nl,koRpus.lang.pt,koRpus.lang.ru","rkward","GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"koRpus.lang.en","koRpus.lang.en","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1-4",NA,"R (>= 3.1),koRpus (>= 0.11-2)","methods,sylly.en",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"ks","ks","C:/Users/romai/AppData/Local/R/win-library/4.2","1.13.5",NA,"R (>= 2.10.0)","FNN (>= 1.1), kernlab, KernSmooth (>= 2.22), Matrix, mclust,
mgcv, multicool, mvtnorm (>= 1.0-0), plot3D, pracma",NA,"geometry, MASS, misc3d (>= 0.4-0), oz, rgl (>= 0.66)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"labeling","labeling","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.2",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.2.0"
"labelled","labelled","C:/Users/romai/AppData/Local/R/win-library/4.2","2.9.1",NA,"R (>= 3.0)","haven (>= 2.4.1), dplyr (>= 1.0.0), lifecycle, rlang, vctrs,
stringr, tidyr",NA,"testthat, knitr, rmarkdown, questionr, snakecase, utf8, covr,
spelling","memisc","GPL-3",NA,NA,NA,NA,"no","4.2.0"
"Lahman","Lahman","C:/Users/romai/AppData/Local/R/win-library/4.2","10.0-1",NA,"R (>= 3.5.0)","dplyr",NA,"lattice, ggplot2, googleVis, data.table, vcd, reshape2,
tidyr, knitr, rmarkdown, car",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"lambda.r","lambda.r","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.4",NA,"R (>= 3.0.0)","formatR",NA,"testit",NA,"LGPL-3",NA,NA,NA,NA,"no","4.2.0"
"LaplacesDemon","LaplacesDemon","C:/Users/romai/AppData/Local/R/win-library/4.2","16.1.6",NA,"R (>= 3.0.0)","parallel, grDevices, graphics, stats, utils",NA,"KernSmooth",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"later","later","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.0",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"lattice","lattice","C:/Users/romai/AppData/Local/R/win-library/4.2","0.20-45","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"latticeExtra","latticeExtra","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6-29",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer",NA,"maps, mapproj, deldir, tripack, quantreg, zoo, MASS, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"lava","lava","C:/Users/romai/AppData/Local/R/win-library/4.2","1.6.10",NA,"R (>= 3.0)","future.apply, progressr, grDevices, graphics, methods,
numDeriv, stats, survival, SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
geepack, gof (>= 0.9), graph, knitr, bookdown, rmarkdown,
igraph (>= 0.6), lava.tobit (>= 0.4.7), lavaSearch2, lme4,
magrittr, mets (>= 1.1), nlme, optimx, polycor, quantreg, rgl,
R.rsp (>= 0.40), testthat (>= 0.11), visNetwork, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"lavaan","lavaan","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6-11",NA,"R(>= 3.4)","methods, stats4, stats, utils, graphics, MASS, mnormt,
pbivnorm, numDeriv",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
